Event,City,Country,Latitude,Longitude,Start Date,End Date,Description,Type
St Vincent Tournante,Beaune,France,47.024,4.84,2026-01-24,2026-01-25,Fête vinicole bourguignonne avec fraternités locales et dégustations,Vin & gastronomie
Fête du Cognac,Cognac,France,45.696,-0.325,2026-07-23,2026-07-25,Festival mêlant concerts et gastronomie autour du cognac,Vin & gastronomie
Marathon du Médoc,Pauillac,France,45.201,-0.747,2026-09-05,2026-09-05,Marathon festif dans les vignobles avec dégustations de vins,Sport & gastronomie
Jazz in Marciac,Marciac,France,43.524,0.162,2026-07-21,2026-08-07,Festival international de jazz avec Wynton Marsalis,Musique
Printemps des Comédiens,Montpellier,France,43.6119,3.8772,2026-06-05,2026-06-07,"Grand festival de théâtre et arts vivants, 20 spectacles",Théâtre
Festival d'Aix-en-Provence,Aix-en-Provence,France,43.528,5.448,2026-07-02,2026-07-21,Festival d'opéra et de musique classique de renommée internationale,Musique & opéra
Rencontres d'Arles,Arles,France,43.679,4.63,2026-07-06,2026-10-04,Festival de photographie et expositions dans toute la ville,Photographie
Chorégies d'Orange,Orange,France,44.137,4.81,2026-07-01,2026-08-31,Festival d'opéra dans le théâtre antique d'Orange,Opéra
Festival de Wiltz,Wiltz,Luxembourg,49.964,5.936,2026-06-15,2026-07-15,"Festival luxembourgeois avec théâtre, opéra, pop et jazz dans un cadre historique",Théâtre & musique
Opera Season – La Monnaie,Bruxelles,Belgique,50.846,4.352,2026-01-28,2026-02-17,"Saison d'opéra 2025-2026 au Royal Opera House La Monnaie / De Munt, institution emblématique",Opéra
